"location_id","location_type__001","location_type__002","location_type__003","open_soon","latitude","longitude"
"dc11334","destination charger","standard charger","","0","-28.6788020000","153.6101040000"
"dc18690","destination charger","standard charger","","0","-37.8718760000","145.3806260000"
"dc6474","destination charger","","","0","41.8174550000","-88.3508060000"
"dc16769","destination charger","","","0","41.0735790000","-72.3655030000"
"dc17948","destination charger","","","0","19.4026110000","-99.0986110000"
"dc18545","destination charger","","","0","21.1354930000","-86.7450430000"
"dc15599","destination charger","","","0","33.5327820000","-117.0734430000"
"dc18529","destination charger","","","0","19.3022420000","-99.1658090000"
"dc18540","destination charger","","","0","25.6843700000","-100.2695350000"
"dc19697","destination charger","","","0","19.0939110000","-98.2294230000"
"dc4682","destination charger","","","0","44.2126626000","-69.0633804000"
"dc11429","destination charger","","","0","32.8998090000","-97.0403350000"
"dc16558","destination charger","","","0","45.1550540000","-87.1696930000"
"dc16863","destination charger","","","0","33.8321540000","-116.5325670000"
"dc11093","destination charger","standard charger","","0","50.1982270000","-5.4666270000"
"dc14070","destination charger","standard charger","","0","50.3650460000","-4.1289790000"
"dc14082","destination charger","standard charger","","0","52.4445040000","-1.7070210000"
"dc17287","destination charger","standard charger","","0","47.5685200000","15.6203700000"
"dc13539","destination charger","standard charger","","0","43.5676130000","7.1159160000"
"dc14674","destination charger","standard charger","","0","60.8038140000","8.9544800000"
"dc15358","destination charger","standard charger","","0","46.3580320000","6.1374420000"
"dc17827","destination charger","standard charger","","0","47.0248900000","15.3988300000"
"dc11713","destination charger","standard charger","","0","53.3232060000","-3.8238260000"
"dc17291","destination charger","standard charger","","0","48.4300310000","13.1852340000"
"dc16691","standard charger","destination charger","","0","43.4980510000","16.5361300000"
"dc17522","destination charger","standard charger","","0","61.4996830000","9.7886990000"
"yulinxingyuroadsupercharger","supercharger","standard charger","","0","38.2723580000","109.7229270000"
"shenzhenkkmallsupercharger","supercharger","standard charger","","0","22.5433690000","114.1071930000"
"leemasupercharger","supercharger","standard charger","","0","42.2957450000","-73.2392260000"
"cologne","store","","","0","50.9402530000","6.9694650000"
"tromso","store","","","0","69.6764920000","18.9216960000"
"dc17736","destination charger","standard charger","","0","-36.4058900000","148.4124270000"
"dc19765","destination charger","standard charger","","0","-34.8090820000","150.6371220000"
"dc14958","standard charger","destination charger","","0","59.3620530000","18.1861940000"
"dc10967","destination charger","standard charger","","0","56.3204190000","-2.7307750000"
"dc12388","destination charger","standard charger","","0","66.8083610000","13.9760090000"
"dc11588","destination charger","standard charger","","0","57.9789900000","16.4830300000"
"dc14671","standard charger","destination charger","","0","56.7849860000","16.5780560000"
"dc15095","destination charger","standard charger","","0","50.3513570000","-5.0097250000"
"dc19617","destination charger","standard charger","","0","52.3643250000","9.7471560000"
